node_id,name,latitude,longitude,demand,Car_Number
0,Vancouver General Hospital,49.2594,-123.1233,0  # Depot (demand is 0),1
0,Vancouver General Hospital,49.2594,-123.1233,0  # Depot (demand is 0),2
0,Vancouver General Hospital,49.2594,-123.1233,0  # Depot (demand is 0),3
1,Stanley Park,49.3043,-123.1443,10,1
2,Granville Island,49.2712,-123.1336,8,3
3,Canada Place,49.2893,-123.1119,12,3
4,Science World,49.2763,-123.1261,15,1
5,Vancouver City Hall,49.2819,-123.1171,9,3
6,UBC,49.2606,-123.246,7,3
7,Gastown,49.2834,-123.1105,11,1
8,Rogers Arena,49.2759,-123.1303,6,3
9,BC Place Stadium,49.2742,-123.1215,14,1
10,Vancouver Aquarium,49.3008,-123.1387,5,3
11,Capilano Suspension Bridge,49.3423,-123.1144,7,3
12,Museum of Anthropology,49.2601,-123.2469,4,3
13,Queen Elizabeth Park,49.2341,-123.1162,10,3
14,Lonsdale Quay,49.3164,-123.0646,9,2
15,Robson Street,49.2878,-123.1207,8,2
16,Pacific National Exhibition,49.2233,-123.0034,11,3
